Drug ID,Drug Name,Discription
DB00564,Carbamazepine,"Carbamazepine, also known as Tegretol, is an anticonvulsant drug and analgesic drug used to control seizures and to treat pain resulting from trigeminal neuralgia. It was initially approved by the FDA in 1965.[A180301] Aside from the above uses, this drug is also given to control the symptoms of bipolar 1.[L1335] Interestingly, carbamazepine was the first anticonvulsant used to treat individuals with bipolar disorder.[A180319];;;;"
DB00565,Cisatracurium,"Cisatracurium is a non-depolarising neuromuscular blocking agent of the benzylisoquinolinium class, available in its salt form, cisatracurium besylate.[A243416,A253592] Cisatracurium has an intermediate duration of action and is one of the most commonly used neuromuscular blocking agents in intensive care.[A253592,A253597]. Cisatracurium acts on cholinergic receptors, blocking neuromuscular transmission. This action is antagonized by acetylcholinesterase inhibitors such as neostigmine.[A243416,A253592] Cisatracurium is an R-cis-R-cis isomer of [atracurium] and has approximately 3 times its neuromuscular blocking potency.[A243416] Compared to atracurium, cisatracurium produces a lower degree of histamine release.[A253597];;;;"
DB00566,Succimer,A mercaptodicarboxylic acid used as an antidote to heavy metal poisoning because it forms strong chelates with them.;;;;
DB00567,Cephalexin,"Cephalexin is the first of the first generation cephalosporins.[A179071,A179074] This antibiotic contains a  beta lactam and a dihydrothiazide.[A179071] Cephalexin is used to treat a number of susceptible bacterial infections through inhibition of cell wall synthesis.[A179083,Label] Cephalexin was approved by the FDA on 4 January 1971.[L6547];;;;"
DB00568,Cinnarizine,"First synthesized by Janssen Pharmaceuticals in 1955, cinnarizine is an anti-histaminic drug mainly used for the control of vestibular disorders and motion sickness. Cinnarizine is a specific calcium channel blocker that primarily works on the central vestibular system to interfere with the signal transmission between vestibular apparatus of the inner ear and the vomiting centre of the hypothalamus. Cinnarizine could be also viewed as a nootropic drug because of its vasorelaxating abilities (due to calcium channel blockage), which happen mostly in brain. Combination use of cinnarizine with other nootropics, such as [piracetam] resulted in enhanced effect of boosting brain oxygen supply.;;;;"
DB00569,Fondaparinux,"Fondaparinux (Arixtra) is a synthetic anticoagulant agent consisting of five monomeric sugar units and a O-methyl group at the reducing end of the molecule. It is structurally similar to polymeric glycosaminoglycan heparin and heparan sulfate (HS) when they are cleaved into monomeric units. The monomeric sequence in heparin and HS is thought to form the high affinity binding site for the natural anti-coagulant factor, antithrombin III (ATIII). Once bound to heparin or HS, the anticoagulant activity of ATIII is potentiated by 1000-fold. Fondaparinux potentiates the neutralizing action of ATIII on activated Factor X 300-fold. Fondaparinux may be used: to prevent venous thromboembolism in patients who have undergone orthopedic surgery of the lower limbs (e.g. hip fracture, hip replacement and knee surgery); to prevent VTE in patients undergoing abdominal surgery who are are at high risk of thromboembolic complications; in the treatment of deep vein thrombosis (DVT) and pumonary embolism (PE); in the management of unstable angina (UA) and non-ST segment elevation myocardial infarction (NSTEMI); and in the management of ST segment elevation myocardial infarction (STEMI)."
DB00570,Vinblastine,"Antitumor alkaloid isolated from Vinca rosea. (Merck, 11th ed.);;;;"
DB00571,Propranolol,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] ;;;;"
DB00572,Atropine,"Atropine is an alkaloid originally synthesized from Atropa belladonna. It is a racemic mixture of d-and l-hyoscyamine, of which only l-hyoscyamine is pharmacologically active.[A251670,L42835] Atropine is generally available as a sulfate salt and can be administered by intravenous, subcutaneous, intramuscular, intraosseous, endotracheal and ophthalmic methods. Oral atropine is only available in combination products.[A251660,L42840] Atropine is a competitive, reversible antagonist of muscarinic receptors that blocks the effects of acetylcholine and other choline esters.[A251660,L42815,L42825,L42835] It has a variety of therapeutic applications, including pupil dilation and the treatment of anticholinergic poisoning and symptomatic bradycardia in the absence of reversible causes.[A251660] Atropine is a relatively inexpensive drug and is included in the World Health Organization List of Essential Medicines.[A251675];;;;"
DB00573,Fenoprofen,"An anti-inflammatory analgesic and antipyretic highly bound to plasma proteins. It is pharmacologically similar to aspirin, but causes less gastrointestinal bleeding.;;;;"
DB00574,Fenfluramine,"Dravet syndrome is a pediatric encephalopathy that typically manifests within the first year of life following exposure to elevated temperatures. It is characterized by recurrent pharmacoresistant seizures, which increase in frequency and severity with disease progression. Concomitantly with these seizures, patients typically display delayed development and neurocognitive impairment.[A214694, A214709, A214712, A214715] Fenfluramine is a serotonergic phenethylamine originally used as an appetite suppressant until concerns regarding cardiotoxicity in obese patients lead to its withdrawal from the market in 1997.[A214694, A214718, A11906] Through its ability to modulate neurotransmission, fenfluramine has reemerged as an effective therapy against pharmacoresistant seizures, such as those involved in Dravet syndrome.[A214688, A214691, A214700];;;;"
DB00575,Clonidine,"Clonidine is an imidazole derivate that acts as an agonist of alpha-2 adrenoceptors.[A180559] This activity is useful for the treatment of hypertension, severe pain, and ADHD.[L7237,L7240,L7243,L7246];;;;"
DB00576,Sulfamethizole,A sulfathiazole antibacterial agent.;;;;
DB00577,Valaciclovir,"Valaciclovir (valacyclovir), also known as _Valtrex_, is an antiviral drug that has been used to manage and treat various herpes infections for more than 2 decades.  It was initially approved by the FDA in 1995 [FDA label] and marketed by GlaxoSmithKline [L5671]. Valacyclovir is the L-valine ester of aciclovir. It is a member of the purine (guanine) nucleoside analog drug class [F3949].  This class of drugs forms an important part of hepatitis, HIV, and cytomegalovirus drug regimens [A175900].;;;;"
DB00578,Carbenicillin,Broad-spectrum semisynthetic penicillin derivative used parenterally. It is susceptible to gastric juice and penicillinase and may damage platelet function.;;;;
DB00579,Mazindol,"Mazindol is a tricyclic anorexigenic agent that is unrelated to and less toxic than [amphetamine], but with some similar side effects. It inhibits uptake of catecholamines and blocks the binding of cocaine to the dopamine uptake transporter. Mazindol is only approved in the United States for the treatment of Duchenne muscular dystrophy, and is not marketed or available in the United States for use in the treatment of obesity.;;;;"
DB00580,Valdecoxib,"Valdecoxib was removed from the Canadian, U.S., and E.U. markets in 2005 due to concerns about a possible increased risk of heart attack and stroke.;;;;"
DB00581,Lactulose,"Lactulose is a synthetic disaccharide derivative of lactose that is most commonly used as a laxative agent despite also being formally indicated to serve as an adjunct therapy in treating portal-systemic encephalopathy (PSE).[FDA Label,L6199,L6202] Despite being first synthesized in 1929[A178081], investigations regarding its possible use as a laxative for the treatment of chronic constipation did not occur until the 1960s and its first clinical use for treating PSE was not until 1966.[L6202] ;;;;"
DB00582,Voriconazole,"Voriconazole (Vfend, Pfizer) is a triazole antifungal medication used to treat serious fungal infections.[L15571] It is used to treat invasive fungal infections that are generally seen in patients who are immunocompromised. These include invasive candidiasis, invasive aspergillosis, and emerging fungal infections. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some [fluconazole]-resistant organisms.[A236050];;;;"
DB00583,Levocarnitine,Constituent of striated muscle and liver. It is used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias.;;;;
DB00584,Enalapril,"Enalapril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor drug class that works on the renin-angiotensin-aldosterone system, which is responsible for the regulation of blood pressure and fluid and electrolyte homeostasis. Enalapril is an orally-active and long-acting nonsulphydryl antihypertensive agent that suppresses the renin-angiotensin-aldosterone system to lower blood pressure. It was developed from a targeted research programmed using molecular modelling.[A18459] Being a prodrug, enalapril is rapidly biotransformed into its active metabolite, [enalaprilat], which is responsible for the pharmacological actions of enalapril. The active metabolite of enalapril competitively inhibits the ACE to hinder the production of angiotensin II, a key component of the renin-angiotensin-aldosterone system that promotes vasoconstriction and renal reabsorption of sodium ions in the kidneys. Ultimately, enalaprilat works to reduce blood pressure and blood fluid volume.;;;;"
DB00585,Nizatidine,A histamine H2 receptor antagonist with low toxicity that inhibits gastric acid secretion. The drug is used for the treatment of duodenal ulcers.;;;;
DB00586,Diclofenac,"Diclofenac is a phenylacetic acid derivative and non-steroidal anti-inflammatory drug (NSAID).[label] NSAIDs inhibit cyclooxygenase (COX)-1 and-2 which are the enzyme responsible for producing prostaglandins (PGs). PGs contribute to inflammation and pain signalling. Diclofenac, like other NSAIDs, is often used as first line therapy for acute and chronic pain and inflammation from a variety of causes. Diclofenac was the product of rational drug design based on the structures of [phenylbutazone], [mefenamic acid], and [indomethacin].[A180796] The addition of two chlorine groups in the ortho position of the phenyl ring locks the ring in maximal torsion which appears to be related to increased potency. It is often used in combination with [misoprostol] to prevent NSAID-induced gastric ulcers. Diclofenac was first approved by the FDA in July 1988 under the trade name Voltaren, marketed by Novartis (previously Ciba-Geigy).[L7360];;;;"
DB00587,Cinalukast,"Used in the treatment of asthma, cinalukast selectively antagonizes leukotriene D4 (LTD4) at the cysteinyl leukotriene receptor, CysLT1, in the human airway. Cinalukast inhibits the actions of LTD4 at the CysLT1 receptor, preventing airway edema, smooth muscle contraction, and enhanced secretion of thick, viscous mucus.;;;;"
DB00588,Fluticasone propionate,"Fluticasone propionate is a synthetic glucocorticoid[F4355,F4358][FDA Label]. These drugs are available as inhalers, nasal, sprays, and topical treatments for various inflammatory indications[F4355,F4358][FDA Label]. Fluticasone propionate was first approved in 1990[L5962].;;;;"
DB00589,Lisuride,"An ergot derivative that acts as an agonist at dopamine D2 receptors (dopamine agonists). It may also act as an antagonist at dopamine D1 receptors, and as an agonist at some serotonin receptors (serotonin agonists).;;;;"
DB00590,Doxazosin,"Doxazosin is an alpha-1 antagonist used for the treatment of benign prostatic hypertrophy (BPH) symptoms and hypertension. Other members of this drug class include [Prazosin], [Terazosin], [Tamsulosin], and [Alfuzosin].[A180661]  Because of its long-lasting effects, doxazosin can be administered once a day.[A180649] It is marketed by Pfizer and was initially approved by the FDA in 1990.[L7285];;;;"
DB00591,Fluocinolone acetonide,"Fluocinolone acetonide, with the formula 6-alpha, 9-alpha-difluoro-16-alpha, 17 alpha-acetonide, is a corticosteroid that presents a high lipophilicity.[T357] It has been used extensively in dermatological preparations and it has also been investigated thoroughly for its use in implantable corticosteroid devices.[T358] This type of device containing fluocinolone acetonide was developed by Taro Pharmaceuticals and approved by FDA in May 2016.[L4676];;;;"
DB00592,Piperazine,"Piperazine is an organic compound that consists of a six-membered ring containing two opposing nitrogen atoms. First used as a solvent for uric acid, the use of piperazine as an anthelmintic agent was first introduced in 1953. Upon entry into the systemic circulation, the drug is partly oxidized and partly eliminated as an unchanged compound. Outside the body, piperazine has a remarkable power to dissolve uric acid and producing a soluble urate, but in clinical experience it has not proved equally successful. Piperazine was first introduced as an anthelmintic in 1953. Piperazine compounds mediate their anthelmintic action by generally paralyzing parasites, allowing the host body to easily remove or expel the invading organism.;;;;"
DB00593,Ethosuximide,An anticonvulsant especially useful in the treatment of absence seizures unaccompanied by other types of seizures.;;;;
DB00594,Amiloride,"A pyrazine compound inhibiting sodium reabsorption through sodium channels in renal epithelial cells. This inhibition creates a negative potential in the luminal membranes of principal cells, located in the distal convoluted tubule and collecting duct. Negative potential reduces secretion of potassium and hydrogen ions. Amiloride is used in conjunction with diuretics to spare potassium loss. (From Gilman et al., Goodman and Gilman's The Pharmacological Basis of Therapeutics, 9th ed, p705);;;;"
DB00595,Oxytetracycline,A tetracycline analog isolated from the actinomycete streptomyces rimosus and used in a wide variety of clinical conditions.;;;;
DB00596,Ulobetasol,"Ulobetasol is a highly potent corticosteroid.[A215597] It is structurally related to [clobetasol].[A215597] Due to its high potency, it is mainly prescribed in the treatment of severe plaque psoriasis and corticosteroid responsive dermatoses.[L15047,L15052,L15102];;;;"
DB00597,Gadoteridol,"Gadoteridol provides contrast enhancement of the brain, spine and surrounding tissues resulting in improved visualization (compared with unenhanced MRI) of lesions with abnormal vascularity or those thought to cause a disruption of the normal blood brain barrier. Gadoteridol can also be used for whole body contrast enhanced MRI including the head, neck, liver, breast, musculoskeletal system and soft tissue pathologies. n MRI, visualization of normal and pathological brain tissue depends in part on variations in the radiofrequency signal intensity that occur with changes in proton density, alteration of the T1, and variation in T2. When placed in a magnetic field, gadoteridol shortens the T1 relaxation time in tissues where it accumulates. Abnormal vascularity or disruption of the blood-brain barrier allows accumulation of gadoteridol in lesions such as neoplasms, abscesses, and subacute infarcts.;;;;"
DB00598,Labetalol,"Labetalol is a racemic mixture of 2 diastereoisomers where dilevalol, the R,R' stereoisomer, makes up 25% of the mixture.[L7730] Labetalol is formulated as an injection or tablets to treat hypertension.[L7727,L7730];;;;"
DB00599,Thiopental,"A barbiturate that is administered intravenously for the induction of general anesthesia or for the production of complete anesthesia of short duration. It is also used for hypnosis and for the control of convulsive states. It has been used in neurosurgical patients to reduce increased intracranial pressure. It does not produce any excitation but has poor analgesic and muscle relaxant properties. Small doses have been shown to be anti-analgesic and lower the pain threshold. (From Martindale, The Extra Pharmacopoeia, 30th ed, p920);;;;"
DB00600,Monobenzone,"Monobenzone is the monobenzyl ether of hydroquinone used medically for depigmentation. Monobenzone occurs as a white, almost tasteless crystalline powder, soluble in alcohol and practically insoluble in water. It exerts a depigmenting effect on skin of mammals by increasing the excretion of melanin from the melanocytes. It may also cause destruction of melanocytes and permanent depigmentation.;;;;"
DB00601,Linezolid,"Linezolid is a synthetic antibiotic which is used for the treatment of infections caused by aerobic Gram-positive bacteria. Its effects are bacteriostatic against both enterococci and staphylococci and bactericidal against most isolates of streptococci.[L32965] Linezolid exerts its antibacterial activity by inhibiting the initiation of bacterial protein synthesis - more specifically, it binds to the 23S ribosomal RNA of the 50S subunit[A11227,A199050] and, in doing so, prevents the formation of the 70S initiation complex which is essential for bacterial reproduction.;;;;"
DB00602,Ivermectin,"Ivermectin is a semi-synthetic antiparasitic medication derived from avermectins, a class of highly-active broad-spectrum antiparasitic agents isolated from the fermentation products of _Streptomyces avermitilis_.[L31453] Ivermectin itself is a mixture of two avermectins, comprising roughly 90% 5-O-demethyl-22,23-dihydroavermectin A<sub>1a</sub> (22,23-dihydroavermectin B<sub>1a</sub>) and 10% 5-O-demethyl-25-de(1-methylpropyl)-22,23-dihydro­-25-(1-methylethyl)avermectin A<sub>1a</sub> (22,23-dihydroavermectin B<sub>1b</sub>).[L31453];;;;"
DB00603,Medroxyprogesterone acetate,"Medroxyprogesterone acetate (MPA) is a [progesterone] derivative that is more resistant to metabolism for improved pharmacokinetic properties.[A14848] MPA can be use to treat secondary amenorrhea, endometrial hyperplasia, abnormal uterine bleeding, osteoporosis, vasomotor symptoms in menopause, vulvar and vaginal atrophy, prevent pregnancy, manage pain in endometriosis, prevent pregnancy, and is also used in palliative care for endometrial and renal carcinoma.[L8657,L8660,L8663,L8666,L8669];;;;"
DB00604,Cisapride,"In many countries (including Canada) cisapride has been either withdrawn or has had its indications limited due to reports about long QT syndrome due to cisapride, which predisposes to arrhythmias. The FDA issued a warning letter regarding this risk to health care professionals and patients.;;;;"
DB00605,Sulindac,"Sulindac is a nonsteroidal anti-inflammatory drug (NSAID) of the arylalkanoic acid class that is marketed by Merck under the brand name Clinoril. Like other NSAIDs, it may be used in the treatment of acute or chronic inflammatory conditions. Sulindac is a prodrug, derived from sulfinylindene, that is converted _in vivo_ to an active sulfide compound by liver enzymes. There is evidence from some studies that sulindac may be associated with fewer gastrointestinal side effects than other NSAIDs, except for the cyclooxygenase-2 (COX-2) inhibitor drug class. This may be due to the sulfide metabolite undergoing enterohepatic circulation thus maintaining constant blood levels of the compound without inducing gastrointestinal effects, where the drug is excreted in the bile and then reabsorbed from the intestines. While its full mechanism of action is not fully understood, sulindac is thought to primarily mediate its action by inhibiting prostaglandin synthesis by inhibiting COX-1 and COX-2.;;;;"
DB00606,Cyclothiazide,"As a diuretic, cyclothiazide inhibits active chloride reabsorption at the early distal tubule via the Na-Cl cotransporter, resulting in an increase in the excretion of sodium, chloride, and water. Thiazides like cyclothiazide also inhibit sodium ion transport across the renal tubular epithelium through binding to the thiazide sensitive sodium-chloride transporter. This results in an increase in potassium excretion via the sodium-potassium exchange mechanism. The antihypertensive mechanism of cyclothiazide is less well understood although it may be mediated through its action on carbonic anhydrases in the smooth muscle or through its action on the large-conductance calcium-activated potassium (KCa) channel, also found in the smooth muscle. Cyclothiazide is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.;;;;"
DB00607,Nafcillin,"A semi-synthetic antibiotic related to penicillin, Naficillin is a narrow-spectrum beta-lactam antibiotic drug. It is a beta-lactamase-resistant penicillin that is indicated for the treatment of Staphylococcal infections caused by strains that are resistant to other penicillins, except those caused by MRSA. It may be used as a first-line therapy in Methicillin-Sensitive *Staphylococcus aureus* infections [A20360].;;;;"
DB00608,Chloroquine,"Chloroquine is an aminoquinolone derivative first developed in the 1940s for the treatment of malaria.[A191655] It was the drug of choice to treat malaria until the development of newer antimalarials such as [pyrimethamine], [artemisinin], and [mefloquine].[A191787] Chloroquine and its derivative [hydroxychloroquine] have since been repurposed for the treatment of a number of other conditions including HIV, systemic lupus erythematosus, and rheumatoid arthritis.[A192432];;;;"
DB00609,Ethionamide,"A second-line antitubercular agent that inhibits mycolic acid synthesis. It also may be used for treatment of leprosy. (From Smith and Reynard, Textbook of Pharmacology, 1992, p868);;;;"
DB00610,Metaraminol,An adrenergic agonist that acts predominantly at alpha adrenergic receptors and also stimulates the release of norepinephrine. It has been used primarily as a vasoconstrictor in the treatment of hypotension.;;;;
DB00611,Butorphanol,A synthetic morphinan analgesic with narcotic antagonist action. It is used in the management of severe pain.;;;;
DB00612,Bisoprolol,"Bisoprolol is a cardioselective β1-adrenergic blocking agent used to treat high blood pressure.[A180472,L7219] It is considered a potent drug with a long-half life that can be used once daily to reduce the need for multiple doses of antihypertensive drugs.[A180472] Bisoprolol is generally well tolerated, likely due to its β1-adrenergic receptor selectivity and is a useful alternative to non-selective β-blocker drugs in the treatment of hypertension such as [Carvedilol] and [Labetalol]. It may be used alone or in combination with other drugs to manage hypertension[L7219] and can be useful in patients with chronic obstructive pulmonary disease (COPD) due to its receptor selectivity.[A180562];;;;"
DB00613,Amodiaquine,A 4-aminoquinoquinoline compound with anti-inflammatory properties.;;;;
DB00614,Furazolidone,"A nitrofuran derivative with antiprotozoal and antibacterial activity. Furazolidone binds bacterial DNA which leads to the gradual inhibition of monoamine oxidase. (From Martindale, The Extra Pharmacopoeia, 30th ed, p514);;;;"
DB00615,Rifabutin,A broad-spectrum antibiotic that is being used as prophylaxis against disseminated Mycobacterium avium complex infection in HIV-positive patients.;;;;
DB00616,Candoxatril,"Candoxatril is the orally-active prodrug of candoxatrilat (UK-73967), a potent neutral endopeptidase (NEP) inhibitor.;;;;"
DB00617,Paramethadione,"Paramethadione is an anticonvulsant in the oxazolidinedione class. It is associated with fetal trimethadione syndrome, which is also known as paramethadione syndrome.;;;;"
DB00618,Demeclocycline,"A tetracycline analog having a 7-chloro and a 6-methyl. Because it is excreted more slowly than tetracycline, it maintains effective blood levels for longer periods of time.;;;;"
DB00619,Imatinib,"Imatinib is a small molecule kinase inhibitor that revolutionized the treatment of cancer, particularly chronic myeloid leukemia, in 2001.[A249305] It was deemed a ""miracle drug"" due to its clinical success, as oncologist Dr. Brian noted that ""complete hematologic responses were observed in 53 of 54 patients with CML treated with a daily dosage of 300 mg or more and typically occurred in the first four weeks of therapy"".[A249315]. The discovery of imatinib also established a new group of therapy called ""targeted therapy"", since treatment can be tailored specifically to the unique cancer genetics of each patient.[L42220];;;;"
DB00620,Triamcinolone,"Triamcinolone is a corticosteroid used to treat various inflammatory conditions in the body from allergic rhinitis to acute exacerbations of multiple sclerosis.[L8255] Triamcinolone can be used as a one time adjunct treatment of osteoarthritic knee pain,[L8264] or first line as a topical treatment of corticosteroid responsive dermatoses.[L8249] Triamcinolone is more commonly seen in the forms triamcinolone hexacetonide, triamcinolone acetonide, and triamcinolone diacetate.[L8246,L8249,L8252,L8255,L8258,L8261,L8264];;;;"
DB00621,Oxandrolone,A synthetic hormone with anabolic and androgenic properties.;;;;
DB00622,Nicardipine,A potent calcium channel blockader with marked vasodilator action. It has antihypertensive properties and is effective in the treatment of angina and coronary spasms without showing cardiodepressant effects. It has also been used in the treatment of asthma and enhances the action of specific antineoplastic agents. [PubChem];;;;
DB00623,Fluphenazine,A phenothiazine used in the treatment of psychoses. Its properties and uses are generally similar to those of chlorpromazine.;;;;
DB00624,Testosterone,"Testosterone is a steroid sex hormone indicated to treat primary hypogonadism and hypogonadotropic hypogonadism.[L8983,L8935,L8938,L8986,L8989,L8992,L8995] Testosterone antagonizes the androgen receptor to induce gene expression that causes the growth and development of masculine sex organs and secondary sexual characteristics.[A187114,L8983,L8935,L8938,L8986,L8989,L8992,L8995];;;;"
DB00625,Efavirenz,Efavirenz (brand names Sustiva® and Stocrin®) is a non-nucleoside reverse transcriptase inhibitor (NNRTI) and is used as part of highly active antiretroviral therapy (HAART) for the treatment of a human immunodeficiency virus (HIV) type 1.;;;;
DB00626,Bacitracin,"Bacitracin is a combination of at least 9 bacitracins.[A955,A181952] 60-80% of commercially prepared bacitracin is bacitracin A.[A181952] The bacillus that produces bacitracin was first isolated from a knee scrape in 1945 from the knee wound of a child named Margaret Tracy.[A181952];;;;"
DB00627,Niacin,"Niacin is a B vitamin used to treat vitamin deficiencies as well as hyperlipidemia, dyslipidemia, hypertriglyceridemia, and to reduce the risk of myocardial infarctions.[L7550,L7553,L7556,L7559,L7562,L7565];;;;"
DB00628,Clorazepic acid,A water-soluble benzodiazepine derivative effective in the treatment of anxiety. It has also muscle relaxant and anticonvulsant actions.;;;;
DB00629,Guanabenz,An alpha-2 selective adrenergic agonist used as an antihypertensive agent. [PubChem];;;;
DB00630,Alendronic acid,"Alendronic acid is a second generation bisphosphonate that is used for the treatment of some forms of osteoperosis and Paget's disease[FDA Label][A959,A203111]. It functions by preventing resorption of bone[FDA Label][A959].;;;;"
DB00631,Clofarabine,"Clofarabine is a purine nucleoside antimetabolite that is being studied in the treatment of cancer. It is marketed as Clolar in the U.S. and Canada, or Evoltra in Europe, Australia, and New Zealand. Clofarabine is used in paediatrics to treat a type of leukaemia called relapsed or refractory acute lymphoblastic leukaemia (ALL), only after at least two other types of treatment have failed. It is not known if the drug extends life expectancy. Its potential use in acute myeloid leukaemia (AML) and juvenile myelomonocytic leukaemia (JMML) has been investigated.;;;;"
DB00632,Docosanol,"Docosanol is a drug used for topical treatment for recurrent herpes simplex labialis episodes (episodes of cold sores or fever blisters). A saturated 22-carbon aliphatic alcohol, docosanol exhibits antiviral activity against many lipid enveloped viruses including herpes simplex virus (HSV). Docosanol inhibits fusion between the plasma membrane and the herpes simplex virus (HSV) envelope, thereby preventing viral entry into cells and subsequent viral replication.;;;;"
DB00633,Dexmedetomidine,"An agonist of receptors, adrenergic alpha-2 that is used in veterinary medicine for its analgesic and sedative properties. It is the racemate of dexmedetomidine.;;;;"
DB00634,Sulfacetamide,An anti-infective agent that is used topically to treat skin infections and orally for urinary tract infections.;;;;
DB00635,Prednisone,A synthetic anti-inflammatory glucocorticoid derived from [cortisone].[A187463] It is biologically inert and converted to [prednisolone] in the liver.[L10502];;;;
DB00636,Clofibrate,"A fibric acid derivative used in the treatment of hyperlipoproteinemia type III and severe hypertriglyceridemia. (From Martindale, The Extra Pharmacopoeia, 30th ed, p986);;;;"
DB00637,Astemizole,"Astemizole is a long-acting, non-sedating second generation antihistamine used in the treatment of allergy symptoms. It was withdrawn from market by the manufacturer in 1999 due to the potential to cause arrhythmias at high doses, especially when  when taken with CYP inhibitors or grapefruit juice.;;;;"
DB00638,Inulin,"A starch found in the tubers and roots of many plants. Since it is hydrolyzable to fructose, it is classified as a fructosan. It has been used in physiologic investigation for determination of the rate of glomerular function.;;;;"
DB00639,Butoconazole,Butoconazole is an imidazole antifungal used in gynecology.;;;;
DB00640,Adenosine,"The structure of adenosine was first described in 1931,[A229823] though the vasodilating effects were not described in literature until the 1940s.[A229828] Adenosine is indicated as an adjunct to thallium-201 in myocardial perfusion scintigraphy,[L31983] though it is rarely used in this indication, having largely been replaced by [dipyridamole] and [regadenson].[A229833,A229838] Adenosine is also indicated in the treatment of supraventricular tachycardia.[L31998];;;;"
DB00641,Simvastatin,"Simvastatin, also known as the brand name product Zocor, is a lipid-lowering drug derived synthetically from a fermentation product of _Aspergillus terreus_. It belongs to the statin class of medications, which are used to lower the risk of cardiovascular disease and manage abnormal lipid levels by inhibiting the endogenous production of cholesterol in the liver. More specifically, statin medications competitively inhibit the enzyme hydroxymethylglutaryl-coenzyme A (HMG-CoA) Reductase,[A181421] which catalyzes the conversion of HMG-CoA to mevalonic acid and is the third step in a sequence of metabolic reactions involved in the production of several compounds involved in lipid metabolism and transport including cholesterol, low-density lipoprotein (LDL) (sometimes referred to as ""bad cholesterol""), and very low-density lipoprotein (VLDL). Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD, such as those with Type 2 Diabetes. The clear evidence of the benefit of statin use coupled with very minimal side effects or long term effects has resulted in this class becoming one of the most widely prescribed medications in North America.[A181087, A181406];;;;"
DB00642,Pemetrexed,"Pemetrexed is a chemotherapy drug that is manufactured and marketed by Eli Lilly and Company under the brand name Alimta. It is indicated for use in combination with cisplatin for the treatment of patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery. Its use in non-small cell lung cancer has also been investigated. Pemetrexed was first approved by the FDA in February 4, 2004.[A253907];;;;"
DB00643,Mebendazole,A benzimidazole that acts by interfering with carbohydrate metabolism and inhibiting polymerization of microtubules. [PubChem];;;;
DB00644,Gonadorelin,Gonadorelin is another name for gonadotropin-releasing hormone (GnRH). It is a synthetic decapeptide prepared using solid phase peptide synthesis. GnRH is responsible for the release of follicle stimulating hormone and leutinizing hormone from the anterior pituitary.;;;;
DB00645,Dyclonine,"Dyclonine is an oral anaesthetic found in Sucrets, an over the counter throat lozenge. It may also be found in some Cepacol sore throat spray products.;;;;"
DB00646,Nystatin,"Nystatin is a polyene antifungal drug that has broad-spectrum fungicidal and fungistatic activity against a number of yeasts and fungi, most notably _Candida_ species.[L10686] It is one of the most effective antifungal agents synthesized by bacteria, in this case a strain of _Streptomyces noursei_,[L10776] and is closely related to [amphotericin B], differing only slightly in structure.[A188562] Nystatin has a greater antifungal activity than amphotericin B - parenterally administered nystatin, however, is associated with significant toxicity and is not available in a formulation appropriate for systemic use.[A188562] As it undergoes very little absorption following oral or topical administration, nystatin's efficacy is limited to the treatment/prevention of cutaneous, mucocutaneous, and gastrointestinal fungal infections.[L10686,L10728];;;;"
DB00647,Dextropropoxyphene,"Dextropropoxyphene is an opioid analgesic manufactured by Eli Lilly and Company. It is used in the symptomatic treatment of mild pain. It displays antitussive and local anaesthetic actions. Due to the risk of cardiac arrhythmias and overdose, possibly leading to death, dextropropoxyphene has been withdrawn from the market in Europe and the United States. The drug is often referred to as the general form, ""propoxyphene"", however only the dextro-isomer (dextropropoxyphene) has any analgesic effect. The levo-isomer appears to exhibit a very limited antitussive effect.;;;;"
DB00648,Mitotane,"A derivative of the insecticide  dichlorodiphenyldichloroethane that specifically inhibits cells of the adrenal cortex and their production of hormones. It is used to treat adrenocortical tumors and causes CNS damage, but no bone marrow depression.;;;;"
DB00649,Stavudine,A dideoxynucleoside analog that inhibits reverse transcriptase and has in vitro activity against HIV.;;;;
DB00650,Leucovorin,"Folinic Acid (also known as 5-formyl tetrahydrofolic acid or leucovorin) is the 5-formyl derivative of tetrahydrofolic acid, a necessary co-factor in the body. Commercially available leucovorin is composed of a 1:1 racemic mixture of the dextrorotary and levorotary isomers, while levoleucovorin contains only the pharmacologically active levo-isomer. In vitro, the levo-isomer has been shown to be rapidly converted to the biologically available methyl-tetrahydrofolate form while the dextro form is slowly excreted by the kidneys. Despite this difference in activity, the two commercially available forms have been shown to be pharmacokinetically identical and may be used interchangeably with limited differences in efficacy or side effects (Kovoor et al, 2009). ;;;;"
